Business Name,Type,Priority Tier,Priority Score,AI Readiness Score,Data Completeness %,Multi-Location,Location Count,Area,Tech Park,Building,HQ Location,Business Category,Description,Website,Phone,Email,LinkedIn,Has Direct Contact,Employee Count,Revenue Range,Google Rating,Primary Persona,Decision Maker Persona,Persona Title,Persona Pain Points,Persona Goals,AI Value Proposition,AI Pitch Script,AI Pitch Opportunity,AI Use Case,AI Maturity,Tech Stack,Decision Making Process,Budget Authority,Engagement Strategy,Contact Priority,Last Enriched,Competitors,Recent News
Berkadia,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,DLF Cyber City,Block 2,"Ambler, USA",Real Estate / Financial,Joint venture of Berkshire Hathaway and Jefferies Financial Group,https://www.berkadia.com,+91 40 1234 5678,,https://linkedin.com/company/berkadia,Yes,,,4.0,VP - PropTech AI,VP - PropTech AI,,,,,,"AI real estate analytics, investment modeling",Medium - AI in real estate,,,,,,,,"CBRE, JLL, Cushman",Real estate AI analytics
CGI,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,DLF Cyber City,Block 2,"Montreal, Canada",IT Consulting,Canadian IT consulting and outsourcing services,https://www.cgi.com,+91 40 1234 5678,,https://linkedin.com/company/cgi,Yes,"90,000+",$12B+,4.0,VP - AI Consulting,VP - AI Consulting,,,,,,"AI consulting, enterprise AI, automation",High - AI consulting,,,,,,,,"Accenture, Deloitte, Capgemini",AI consulting practice
Cambridge Technology,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Cyber Pearl,Block 1,"Cambridge, USA",IT Services,Technology services and solutions provider,https://www.cambridgeonline.com,+91 40 1234 5678,,https://linkedin.com/company/cambridge-technology,Yes,,,4.0,Director - Cloud AI,Director - Cloud AI,,,,,,"Cloud-native AI, data engineering, ML ops",Medium - AI services,,,,,,,,"Infosys, TCS, Wipro",Cloud and AI solutions
CipherCloud,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Cyber Pearl,Block 2,"San Jose, USA",Cybersecurity,Cloud security and encryption solutions,https://www.ciphercloud.com,+91 40 1234 5678,,https://linkedin.com/company/ciphercloud,Yes,,,4.0,CTO - AI Security,CTO - AI Security,,,,,,"AI threat detection, cloud security analytics",Medium - AI security,,,,,,,,"Palo Alto, McAfee, Symantec",Cloud AI security R&D
Cognizant,Enterprise / Tech Company,Tier 1 - Hot,100,100,89,Yes,2,Gachibowli | HITEC City,DLF Cyber City | Mindspace Madhapur,Block 1 | Building 12A,"Teaneck, USA",IT Consulting / Services,"Multinational technology company providing IT services, consulting, business process outsourcing",https://www.cognizant.com,+91 40 1234 5678,,https://linkedin.com/company/cognizant,Yes,"350,000+",$19B+,4.0,SVP - AI & Digital Engineering,SVP - AI & Digital Engineering,SVP - AI & Digital Engineering,"AI talent shortage, client AI readiness, margin pressure from AI automation","Lead AI services market, 50% revenue from AI by 2030, top AI talent","Neuro AI platform, generative AI for clients, AI automation at scale",'Cognizant serves 2000+ clients. Our Neuro AI can automate 40% of software development tasks and reduce time-to-market by 50%.',"Neuro AI platform, generative AI for clients, automation",Very High - AI-first strategy,Advanced - AI-first strategy,"Azure, AWS, GCP, Salesforce, SAP","Client-driven, solution sales, quarterly business reviews",High - $200M+ AI budget,"Client workshops, POCs, industry conferences, analyst briefings",Hot - AI services growth,2025-01-15,"TCS, Infosys, Wipro",Launched AI lab in Hyderabad
Cybage Software,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,DLF Cyber City,Block 2,"Pune, India",IT Services,Software engineering and technology consulting,https://www.cybage.com,+91 40 1234 5678,,https://linkedin.com/company/cybage,Yes,,,4.0,VP - AI Engineering,VP - AI Engineering,,,,,,"AI software development, data science",Medium - AI engineering,,,,,,,,"Infosys, TCS, Wipro",AI engineering services
DIGITALOPS,AI Marketing Agency,Tier 1 - Hot,100,100,100,No,1,"Madhapur, HITEC City",,,"Madhapur, HITEC City",Digital Marketing / AI Agency,"SEO, Google Ads, Social Media, Content Marketing, Performance Marketing",https://www.digitalops.in,+91 9966 001212,hello@digitalops.in,https://linkedin.com/company/digitalops,Yes,25-50,,4.5,Founder / CEO / Growth Head,,CEO / Founder,"Scaling AI services, client AI education, talent acquisition","Become top AI marketing agency in Hyderabad, 100+ AI clients by 2027","AI-powered SEO, predictive lead scoring, automated ad management",'DIGITALOPS generated 80K+ leads with AI. We can help you achieve 3x ROI on marketing spend using our AI campaign optimization.',"AI SEO optimization, predictive lead scoring, automated ad management","AI-driven campaign optimization, predictive analytics, automated bidding",Intermediate - AI in marketing,"Google Ads, Meta, HubSpot, SEMrush, Ahrefs","Founder-led, agile, monthly reviews, performance-based",Medium - ₹1-5M AI budgets,"Performance demos, case studies, free AI audits",Hot - AI marketing demand,2025-01-15,,AI-powered ROI tracking with real-time dashboards
DXC Technology,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,DLF Cyber City,Block 2,"Tysons, USA",IT Services,Global IT services and consulting,https://www.dxc.com,+91 40 1234 5678,,https://linkedin.com/company/dxc-technology,Yes,"130,000+",$17B+,4.0,CTO - AI & Cloud,CTO - AI & Cloud,,,,,,"AI cloud solutions, enterprise AI, automation",High - AI in enterprise,,,,,,,,"IBM, Accenture, Cognizant",Enterprise AI delivery
Data Glove IT Solutions,Enterprise / Tech Company,Tier 2 - Warm,65,65,78,No,1,Gachibowli,Kapil Towers,Main,"Hyderabad, India",IT Services,IT solutions and services provider,,+91 40 1234 5678,,,Yes,,,4.0,CEO - AI Solutions,CEO - AI Solutions,,,,,,"AI data solutions, analytics, automation",Medium - AI data,,,,,,,,"TCS, Infosys, Wipro",Data AI services
Dell International,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Cyber Gateway,Block B,"Round Rock, USA",Hardware / IT,"Subsidiary of Dell Technologies, IT services and support",https://www.dell.com,+91 40 1234 5678,,https://linkedin.com/company/dell-technologies,Yes,"165,000+",$100B+,4.1,VP - AI Infrastructure,VP - AI Infrastructure,,,,,,"AI hardware, edge computing, data center AI",High - AI infrastructure,,,,,,,,"HP, Lenovo, Cisco",AI server and infrastructure R&D
Factset Systems,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,Divyasree Orion,Block B5,"Norwalk, USA",Financial Data,Financial data and analytics software,https://www.factset.com,+91 40 1234 5678,,https://linkedin.com/company/factset,Yes,"12,000+",$2B+,4.1,VP - AI Analytics,VP - AI Analytics,,,,,,"AI financial analytics, NLP, predictive modeling",High - AI in finance,,,,,,,,"Bloomberg, Refinitiv, S&P",Financial AI analytics R&D
Finisar India,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Cyber Pearl,Block 2,"Sunnyvale, USA",Optical Communications,Provider of optical communication components and subsystems,https://www.finisar.com,+91 40 1234 5678,,https://linkedin.com/company/finisar,Yes,,,4.0,VP - Optical AI,VP - Optical AI,,,,,,"AI in optical networking, signal processing",Low - AI emerging,,,,,,,,"Lumentum, Cisco, Juniper",Optical AI research
GE Digital,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Cyber Pearl,Block 1,"San Ramon, USA",Industrial Software,"Software arm of General Electric, industrial IoT and analytics",https://www.ge.com/digital,+91 40 1234 5678,,https://linkedin.com/company/ge-digital,Yes,,,4.1,VP - Predix AI,VP - Predix AI,,,,,,"Industrial AI, digital twins, predictive maintenance",High - Industrial AI,,,,,,,,"Siemens, Hitachi, PTC",Predix platform AI development
GSS Infotech,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Cyber Pearl,Block 2,"Hyderabad, India",IT Services,IT services and solutions provider,https://www.gssinfotech.com,+91 40 1234 5678,,https://linkedin.com/company/gss-infotech,Yes,,,4.0,CEO - AI Services,CEO - AI Services,,,,,,"AI IT services, automation, analytics",Medium - AI services,,,,,,,,"TCS, Infosys, Wipro",AI service offerings
Garmin Technologies,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Laxmi Cyber City,Main,"Olathe, USA",Consumer Electronics,GPS navigation and wearable technology company,https://www.garmin.com,+91 40 1234 5678,,https://linkedin.com/company/garmin,Yes,"19,000+",$5B+,4.3,VP - AI & Wearables,VP - AI & Wearables,,,,,,"AI fitness tracking, navigation AI, health analytics",Medium - AI in wearables,,,,,,,,"Fitbit, Apple Watch, Samsung",Health AI and wearable analytics
GeeksChip,AI Marketing Agency,Tier 2 - Warm,75,65,89,No,1,"Madhapur, Hyderabad",,,"Madhapur, Hyderabad",Digital Marketing / AI Agency,"Website Design, SEO, SEM, PPC, SMM, ORM",https://geekschip.com,,info@geekschip.com,https://linkedin.com/company/geekschip,Yes,20-40,,4.3,Founder / CEO / Growth Head,,,,,,,"AI healthcare marketing, ORM AI","AI healthcare SEO, reputation management AI, social listening",,,,,,,,,Healthcare sector AI marketing specialist
GenY Medium,AI Marketing Agency,Tier 1 - Hot,100,100,89,No,1,"Madhapur, Hyderabad",,,"Madhapur, Hyderabad",Digital Marketing / AI Agency,"PPC, SEM, SEO, Digital Presence, Marketing Automation, Social Media, Mobile Marketing",https://www.genymedium.com,,support@genymedium.com,https://linkedin.com/company/genymedium,Yes,50+,,4.4,Founder / CEO / Growth Head,,CEO / Founder,"Google algorithm AI changes, AI ad competition, platform dependency","Become Google Premier AI Partner, 100+ enterprise AI clients","AI marketing automation, mobile AI, social media AI",'GenY Medium works with Lenovo and TATA. Our AI marketing automation can increase campaign efficiency by 50% and reduce manual work by 70%.',"AI marketing automation, social media AI","AI marketing automation, mobile marketing AI, social media AI",Intermediate - AI automation,"Google Marketing Platform, Meta, HubSpot","Google Partner program, enterprise sales, C-suite engagement",Medium - ₹2-8M budgets,"Google partner events, enterprise pitches, case studies",Warm - AI automation,2025-01-15,,Google Certified Partner with AI automation
Genpact,Enterprise / Tech Company,Tier 1 - Hot,100,100,89,Yes,2,Gachibowli | HITEC City,DLF Cyber City | Mindspace Madhapur,Block 2 | Building 10,"New York, USA",BPO / Digital Transformation,Professional services firm providing digital transformation and outsourcing,https://www.genpact.com,+91 40 1234 5678,,https://linkedin.com/company/genpact,Yes,"125,000+",$4B+,4.0,SVP - AI & Digital,SVP - AI & Digital,SVP - AI & Digital Transformation,"AI replacing BPO workers, client automation demands, margin compression","Transform from BPO to AI-first digital, 50% AI-automated by 2027","AI@Genpact platform, process mining AI, generative AI for operations",'Genpact processes 1B+ transactions annually. Our AI can automate 50% of manual processes and improve accuracy to 99.5%.',"AI process automation, predictive analytics, NLP",Very High - AI-first BPO,Intermediate - AI in operations,"Salesforce, SAP, Oracle, custom AI platforms","Operations + Technology, efficiency-driven, 12-18 month ROI",Medium - $50M+ AI budget,"Efficiency workshops, ROI calculators, process mining demos",Warm - AI in operations,2025-01-15,"Infosys BPM, WNS, EXL",AI@Genpact platform development
GlobalLogic,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,DLF Cyber City,Block 1,"San Jose, USA",Engineering / R&D,Digital product engineering services,https://www.globallogic.com,+91 40 1234 5678,,https://linkedin.com/company/globallogic,Yes,"25,000+",,4.1,CTO - AI Engineering,CTO - AI Engineering,,,,,,"AI product engineering, embedded AI, IoT AI",High - AI in engineering,,,,,,,,"Luxoft, EPAM, Cognizant",AI engineering center in Hyderabad
Gravity Cybertech,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Mindspace Madhapur,Maximus 2B,"Hyderabad, India",Cybersecurity,Cybersecurity solutions and services provider,https://www.gravitycybertech.com,+91 40 1234 5678,,https://linkedin.com/company/gravity-cybertech,Yes,,,4.0,CEO - Security AI,CEO - Security AI,,,,,,"AI threat detection, SOAR automation",Medium - AI security growth,,,,,,,,"Palo Alto Networks, CrowdStrike",Expanding AI security portfolio
HSBC,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,Yes,2,HITEC City,Laxmi Cyber City | Mindspace Madhapur,Building 9 | Main,"London, UK",Banking / Financial Services,One of the world's largest banking and financial services organizations,https://www.hsbc.com,+91 40 1234 5678,,https://linkedin.com/company/hsbc,Yes,"220,000+",$50B+,4.0,CIO - Global Banking,CIO - Global Banking,,,,,,"AI risk management, compliance automation, chatbots",High - Regulated AI needs,,,,,,,,"Citi, Barclays, Standard Chartered",AI-powered anti-money laundering
Heron Health,Enterprise / Tech Company,Tier 2 - Warm,65,65,78,No,1,HITEC City,Mindspace Madhapur,Building 12C,"Hyderabad, India",Healthcare IT,Healthcare technology and services company,,+91 40 1234 5678,,,Yes,,,4.0,CEO - Health AI,CEO - Health AI,,,,,,"AI diagnostics, patient analytics, health automation",Medium - Health AI,,,,,,,,"Cerner, Epic, Athenahealth",Healthcare AI solutions
Hinduja Global Solutions,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,DLF Cyber City,Block 2,"Bangalore, India",BPO / Services,Business process management and customer services,https://www.hgs.cx,+91 40 1234 5678,,https://linkedin.com/company/hgs,Yes,,,4.0,VP - AI CX,VP - AI CX,,,,,,"AI customer service, voice analytics, chatbots",Medium - AI in BPO,,,,,,,,"Genpact, WNS, Firstsource",AI-powered customer experience
IBM India,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,Divyasree Orion,Block B5,"Armonk, USA",IT Services / Cloud,"Indian subsidiary of IBM, cloud and AI services",https://www.ibm.com/in,+91 40 1234 5678,,https://linkedin.com/company/ibm,Yes,"350,000+",$60B+,4.1,CTO - AI & Watson,CTO - AI & Watson,,,,,,"Watson AI, cloud AI, quantum computing",Very High - AI pioneer,,,,,,,,"Microsoft, Google, AWS",Watson AI development in Hyderabad
Infinite Computer Solutions,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Cyber Towers,Q3,"Rockville, USA",IT Services,IT services and outsourcing company,https://www.infinite.com,+91 40 1234 5678,,https://linkedin.com/company/infinite-computer-solutions,Yes,,,4.0,VP - AI Delivery,VP - AI Delivery,,,,,,"AI implementation, automation, analytics",Medium - AI services,,,,,,,,"TCS, Infosys, Wipro",AI project delivery
Inovies,AI Marketing Agency,Tier 2 - Warm,75,65,89,No,1,"Madhapur, Hyderabad",,,"Madhapur, Hyderabad",Digital Marketing / AI Agency,"Influencer Marketing, Growth Hacking, Web Analytics, Mobile Marketing, Video Marketing, ORM",https://www.inovies.com,,info@inovies.com,https://linkedin.com/company/inovies,Yes,20-40,,4.2,Founder / CEO / Growth Head,,,,,,,"AI influencer marketing, growth hacking AI","AI influencer matching, growth hacking AI, video AI",,,,,,,,,10+ years experience with AI analytics
Intelex Systems,Enterprise / Tech Company,Tier 2 - Warm,65,65,78,No,1,Gachibowli,PSR Prime Tower,Main,"Hyderabad, India",Software,Software development and IT services,,+91 40 1234 5678,,,Yes,,,4.0,Director - AI Software,Director - AI Software,,,,,,"AI software development, product engineering",Medium - AI engineering,,,,,,,,"TCS, Infosys, Wipro",AI software delivery
Intertech Labs,Enterprise / Tech Company,Tier 2 - Warm,65,65,78,No,1,Gachibowli,PSR Prime Tower,Main,"Hyderabad, India",IT Services,Technology and software development services,,+91 40 1234 5678,,,Yes,,,4.0,Director - AI Engineering,Director - AI Engineering,,,,,,"AI software development, product engineering",Medium - AI engineering,,,,,,,,"TCS, Infosys, Wipro",AI technology services
Invesco Asset Management,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,Divyasree Orion,Block B6,"Atlanta, USA",Asset Management,Global investment management company,https://www.invesco.com,+91 40 1234 5678,,https://linkedin.com/company/invesco,Yes,"8,000+",,4.1,VP - AI Investment,VP - AI Investment,,,,,,"AI investment analytics, portfolio optimization, risk AI",High - AI in asset management,,,,,,,,"BlackRock, Vanguard, Fidelity",Investment AI analytics
J.P. Morgan,Enterprise / Tech Company,Tier 1 - Hot,100,100,89,No,1,HITEC City,Mindspace Madhapur,Building 11,"New York, USA",Investment Banking,"Global financial services firm, investment banking, asset management",https://www.jpmorgan.com,+91 40 1234 5678,,https://linkedin.com/company/jpmorgan,Yes,"290,000+",$130B+,4.1,MD - Technology Investment Banking,MD - Technology Investment Banking,Managing Director - Technology,"AI model risk management, trading algorithm accuracy, regulatory scrutiny","AI-driven alpha generation, risk reduction, operational efficiency","AI trading algorithms, risk model optimization, regulatory AI compliance",'JPMorgan manages $3.7T in assets. Our AI trading models can improve alpha by 2-3% and reduce risk exposure by 15%.',"AI trading algorithms, fraud detection, wealth management AI",Very High - AI in finance,Very Advanced - AI in finance,"Python, R, AWS, Bloomberg, custom quant platforms","Quant + Risk + Technology, rigorous backtesting, 18-24 month cycles",Very High - $500M+ AI budget,"Quant presentations, backtesting results, risk model comparisons",Hot - AI trading arms race,2025-01-15,"Goldman Sachs, Morgan Stanley, Citi",Hyderabad center supports global AI trading
Kanerika Software,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,DLF Cyber City,Block 2,"Hyderabad, India",Software,Software product development and services,https://www.kanerika.com,+91 40 1234 5678,,https://linkedin.com/company/kanerika,Yes,,,4.0,CEO - AI Products,CEO - AI Products,,,,,,"AI product development, data engineering",Medium - AI products,,,,,,,,"TCS, Infosys, Wipro",AI product engineering
Kapil IT Solutions,Enterprise / Tech Company,Tier 2 - Warm,75,65,100,No,1,Gachibowli,Kapil Towers,Main,"Hyderabad, India",IT Services,IT services and solutions provider,https://www.kapilitsolutions.com,+91 98336 17779,enquiry@kapilcommercial.com,,Yes,,,4.0,Director - AI Services,Director - AI Services,,,,,,"AI IT services, automation, cloud AI",Medium - AI services,,,,,,,,"TCS, Infosys, Wipro",AI service delivery
Karur Vysya Bank,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Cyber Pearl,Block 1,"Karur, India",Banking,Indian private-sector bank,https://www.kvb.co.in,+91 40 1234 5678,,https://linkedin.com/company/karur-vysya-bank,Yes,"8,000+",,4.0,CIO - Digital Banking,CIO - Digital Banking,,,,,,"AI credit scoring, chatbots, fraud detection",Medium - BFSI AI,,,,,,,,"HDFC, ICICI, Axis",Digital banking AI initiatives
Knoah Solutions,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Mindspace Madhapur,Building 2,"Las Vegas, USA",BPO / Customer Service,Customer experience and BPO services,https://www.knoahsoft.com,+91 40 1234 5678,,https://linkedin.com/company/knoah-solutions,Yes,,,4.0,VP - AI Customer Experience,VP - AI Customer Experience,,,,,,"AI chatbots, voice analytics, sentiment analysis",Medium - AI CX growth,,,,,,,,"Concentrix, Sitel, Teleperformance",AI-powered customer analytics
Kyndryl Solutions,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,Divyasree Orion,Block B6,"New York, USA",IT Infrastructure,IBM spin-off providing IT infrastructure services,https://www.kyndryl.com,+91 40 1234 5678,,https://linkedin.com/company/kyndryl,Yes,"90,000+",$19B+,4.0,VP - AI Infrastructure,VP - AI Infrastructure,,,,,,"AI infrastructure management, cloud AI, automation",High - AI in infrastructure,,,,,,,,"DXC, Atos, Cognizant",AI infrastructure services
Logicmatter India,Enterprise / Tech Company,Tier 2 - Warm,65,65,78,No,1,Gachibowli,PSR Prime Tower,Main,"Hyderabad, India",IT Services,Software and technology consulting,,+91 40 1234 5678,,,Yes,,,4.0,CEO - AI Consulting,CEO - AI Consulting,,,,,,"AI consulting, technology strategy, automation",Medium - AI consulting,,,,,,,,"Infosys, TCS, Wipro",AI consulting services
Microsemi India,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,Kapil Towers,Main,"Chandler, USA",Semiconductor,"Subsidiary of Microchip Technology, semiconductor solutions",https://www.microchip.com,+91 40 1234 5678,,https://linkedin.com/company/microchip-technology,Yes,,,4.0,VP - AI Hardware,VP - AI Hardware,,,,,,"AI chip design, edge AI hardware",Medium - AI hardware,,,,,,,,"Intel, NVIDIA, Qualcomm",Semiconductor AI research
Mindtree,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,Divyasree Orion,Block B6,"Bangalore, India",IT Services,Indian IT services and consulting company,https://www.mindtree.com,+91 40 1234 5678,,https://linkedin.com/company/mindtree,Yes,"30,000+",,4.1,CTO - AI & Digital,CTO - AI & Digital,,,,,,"AI digital solutions, customer AI, automation",High - AI in services,,,,,,,,"Infosys, TCS, Wipro",AI digital transformation
NASSCOM,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Mindspace Madhapur,Maximus 2B,"New Delhi, India",Industry Association,"Indian IT industry's trade association, promotes innovation and growth",https://www.nasscom.in,+91 40 1234 5678,,https://linkedin.com/company/nasscom,Yes,,,4.5,President - AI & Emerging Tech,President - AI & Emerging Tech,,,,,,"AI policy, skilling, industry standards",High - AI advocacy,,,,,,,,"TIE, CII, FICCI",Hyderabad AI Hub initiative
NCR Corporation,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Mindspace Madhapur,Building 12B,"Atlanta, USA",Technology / Hardware,American software and technology company for banking and retail,https://www.ncr.com,+91 40 1234 5678,,https://linkedin.com/company/ncr-corporation,Yes,"35,000+",$7B+,4.0,VP - Retail AI,VP - Retail AI,,,,,,"AI self-checkout, retail analytics, ATM AI",Medium - AI in retail/banking,,,,,,,,"Diebold Nixdorf, Fujitsu",ATM AI and retail analytics R&D
