Business Name,Type,Priority Tier,Priority Score,AI Readiness Score,Data Completeness %,Multi-Location,Location Count,Area,Tech Park,Building,HQ Location,Business Category,Description,Website,Phone,Email,LinkedIn,Has Direct Contact,Employee Count,Revenue Range,Google Rating,Primary Persona,Decision Maker Persona,Persona Title,Persona Pain Points,Persona Goals,AI Value Proposition,AI Pitch Script,AI Pitch Opportunity,AI Use Case,AI Maturity,Tech Stack,Decision Making Process,Budget Authority,Engagement Strategy,Contact Priority,Last Enriched,Competitors,Recent News,_research_query,_enriched_website,_enriched_linkedin,_enriched_emails,_enriched_phones,_research_sources,_search_engine_used,_research_error,_research_timestamp,_page_description,_page_facebook,_page_twitter,_page_instagram,_page_youtube,_page_github,_page_contact_url,_page_about_url,_page_careers_url,_page_blog_url,_page_tech_stack,_page_founded_year,_page_employee_count,_page_headquarters,_firmographic_query,_firmographic_sources,_firmographic_errors,legal_name,registration_number,jurisdiction,incorporation_date,company_status,company_type,official_website,industry,sic_code,employee_count,headquarters,officers
Berkadia,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,DLF Cyber City,Block 2,"Ambler, USA",Real Estate / Financial,Joint venture of Berkshire Hathaway and Jefferies Financial Group,https://www.berkadia.com,+91 40 1234 5678,,https://linkedin.com/company/berkadia,Yes,,,4.0,VP - PropTech AI,VP - PropTech AI,,,,,,"AI real estate analytics, investment modeling",Medium - AI in real estate,,,,,,,,"CBRE, JLL, Cushman",Real estate AI analytics,,https://www.berkadia.com,https://linkedin.com/company/berkadia,,,,,,2026-06-30T11:04:35.597885,Your top choice for premier commercial real estate services and mortgage solutions. We deliver expertly tailored solutions for exceptional results.,https://www.facebook.com/berkadia,https://x.com/Berkadia,https://www.instagram.com/berkadia,,,https://www.berkadia.com/contact,https://www.berkadia.com/aboutus/newsroom,https://www.berkadia.com/careers,https://www.berkadia.com/aboutus/newsroom,WordPress,,,,Berkadia,Wikidata,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Berkadia&per_page=5,Berkadia,,United States,,,,https://berkadia.com/,commercial property,,,,
CGI,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,DLF Cyber City,Block 2,"Montreal, Canada",IT Consulting,Canadian IT consulting and outsourcing services,https://www.cgi.com,+91 40 1234 5678,,https://linkedin.com/company/cgi,Yes,"90,000+",$12B+,4.0,VP - AI Consulting,VP - AI Consulting,,,,,,"AI consulting, enterprise AI, automation",High - AI consulting,,,,,,,,"Accenture, Deloitte, Capgemini",AI consulting practice,,https://www.cgi.com,https://linkedin.com/company/cgi,,,,,,2026-06-30T11:04:43.956007,"Since 1976, CGI has grown into one of the largest IT and business consulting services firms in the world. Our 50-year milestone celebrates a history of serving clients and creating a global culture of ownership, always with a focus on looking to the future ahead.",https://www.facebook.com/cgigroup,https://twitter.com/cgi_global,,https://www.youtube.com/watch,https://github.com/newrelic,https://www.cgi.com/en/contact-us,https://www.cgi.com/en/about-us/insights,https://www.cgi.com#mm-11,https://www.cgi.com/en/blogs,Drupal,1976.0,,,CGI,SEC_EDGAR; Wikidata,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=CGI&per_page=5,Common Gateway Interface,0001061574,United States,,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001061574,,,,,
Cambridge Technology,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Cyber Pearl,Block 1,"Cambridge, USA",IT Services,Technology services and solutions provider,https://www.cambridgeonline.com,+91 40 1234 5678,,https://linkedin.com/company/cambridge-technology,Yes,,,4.0,Director - Cloud AI,Director - Cloud AI,,,,,,"Cloud-native AI, data engineering, ML ops",Medium - AI services,,,,,,,,"Infosys, TCS, Wipro",Cloud and AI solutions,,https://www.cambridgeonline.com,https://linkedin.com/company/cambridge-technology,,,,,,2026-06-30T11:05:19.927574,,,,,,,,,,,,,,,Cambridge Technology,Wikidata,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Cambridge+Technology&per_page=5,Cambridge Technology Partners,,Japan,,,,http://www.ctp.co.jp/,business and other management consultancy activities,,,Nyon,
CipherCloud,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Cyber Pearl,Block 2,"San Jose, USA",Cybersecurity,Cloud security and encryption solutions,https://www.ciphercloud.com,+91 40 1234 5678,,https://linkedin.com/company/ciphercloud,Yes,,,4.0,CTO - AI Security,CTO - AI Security,,,,,,"AI threat detection, cloud security analytics",Medium - AI security,,,,,,,,"Palo Alto, McAfee, Symantec",Cloud AI security R&D,,https://www.ciphercloud.com,https://linkedin.com/company/ciphercloud,,,,,,2026-06-30T11:05:21.064903,,,,,,,,,,,,,,,CipherCloud,Wikidata,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=CipherCloud&per_page=5,CipherCloud,,United States,,,,http://www.ciphercloud.com/,software industry,,,San Jose,
Cognizant,Enterprise / Tech Company,Tier 1 - Hot,100,100,89,Yes,2,Gachibowli | HITEC City,DLF Cyber City | Mindspace Madhapur,Block 1 | Building 12A,"Teaneck, USA",IT Consulting / Services,"Multinational technology company providing IT services, consulting, business process outsourcing",https://www.cognizant.com,+91 40 1234 5678,,https://linkedin.com/company/cognizant,Yes,"350,000+",$19B+,4.0,SVP - AI & Digital Engineering,SVP - AI & Digital Engineering,SVP - AI & Digital Engineering,"AI talent shortage, client AI readiness, margin pressure from AI automation","Lead AI services market, 50% revenue from AI by 2030, top AI talent","Neuro AI platform, generative AI for clients, AI automation at scale",'Cognizant serves 2000+ clients. Our Neuro AI can automate 40% of software development tasks and reduce time-to-market by 50%.',"Neuro AI platform, generative AI for clients, automation",Very High - AI-first strategy,Advanced - AI-first strategy,"Azure, AWS, GCP, Salesforce, SAP","Client-driven, solution sales, quarterly business reviews",High - $200M+ AI budget,"Client workshops, POCs, industry conferences, analyst briefings",Hot - AI services growth,2025-01-15,"TCS, Infosys, Wipro",Launched AI lab in Hyderabad,,https://www.cognizant.com,https://linkedin.com/company/cognizant,,,,,,2026-06-30T11:05:31.073082,Anticipate trends. Drive meaningful change. Outthink your competition. That’s the power of intuition—and we can engineer it. Learn more.,https://www.facebook.com/Cognizant,https://twitter.com/cognizant,https://www.instagram.com/cognizant,https://www.youtube.com/iframe_api,,https://www.cognizant.com/in/en/about-cognizant/contact-us,https://www.cognizant.com/in/en/about-cognizant/responsible-ai,https://www.cognizant.com/in/en/careers,https://news.cognizant.com,,,,,Cognizant,SEC_EDGAR; Wikidata,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Cognizant&per_page=5,Cognizant Technology Solutions,0001058290,United States,,,,https://www.cognizant.com,information technology industry,,266200,Teaneck,
Cybage Software,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,DLF Cyber City,Block 2,"Pune, India",IT Services,Software engineering and technology consulting,https://www.cybage.com,+91 40 1234 5678,Finance_Brazil@cybage.com,https://linkedin.com/company/cybage,Yes,,,4.0,VP - AI Engineering,VP - AI Engineering,,,,,,"AI software development, data science",Medium - AI engineering,,,,,,,,"Infosys, TCS, Wipro",AI engineering services,,https://www.cybage.com,https://linkedin.com/company/cybage,Finance_Brazil@cybage.com; Finance_Poland@cybage.com; Whistleblower@cybage.com; business@cybage.com,+91 8530109729; 6966554126,,,,2026-06-30T11:05:38.311128,"Cybage, with over 7500 employees, is a leader in outsourced product engineering and technology consulting. The firm excels in leveraging advanced technologies like AI, ML, and cloud services to help 280+ clients reach their digital transformation goals.",https://www.facebook.com/cybage,https://twitter.com/cybagesoftware,https://www.instagram.com/cybage,https://www.youtube.com/user/cybagesoftware,,https://www.cybage.com/contact-us,https://www.cybage.com/about-us,https://www.cybage.com/careers,https://www.cybage.com/about-us/newsroom,Drupal,1995.0,,,Cybage Software,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Cybage+Software&per_page=5,,,,,,,,,,,,
DIGITALOPS,AI Marketing Agency,Tier 1 - Hot,100,100,100,No,1,"Madhapur, HITEC City",,,"Madhapur, HITEC City",Digital Marketing / AI Agency,"SEO, Google Ads, Social Media, Content Marketing, Performance Marketing",https://www.digitalops.in,+91 9966 001212,hello@digitalops.in,https://linkedin.com/company/digitalops,Yes,25-50,,4.5,Founder / CEO / Growth Head,,CEO / Founder,"Scaling AI services, client AI education, talent acquisition","Become top AI marketing agency in Hyderabad, 100+ AI clients by 2027","AI-powered SEO, predictive lead scoring, automated ad management",'DIGITALOPS generated 80K+ leads with AI. We can help you achieve 3x ROI on marketing spend using our AI campaign optimization.',"AI SEO optimization, predictive lead scoring, automated ad management","AI-driven campaign optimization, predictive analytics, automated bidding",Intermediate - AI in marketing,"Google Ads, Meta, HubSpot, SEMrush, Ahrefs","Founder-led, agile, monthly reviews, performance-based",Medium - ₹1-5M AI budgets,"Performance demos, case studies, free AI audits",Hot - AI marketing demand,2025-01-15,,AI-powered ROI tracking with real-time dashboards,,https://www.digitalops.in,https://linkedin.com/company/digitalops,hello@digitalops.in,+91 9966 001212,,,,2026-06-30T11:05:44.819444,"DIGITALOPS - Best Digital Marketing Agency in Hyderabad offering expert SEO, PPC & Google Ads services. Grow your traffic and leads with proven strategies.",https://www.facebook.com/digitalopsagency,https://x.com/digitalops_in,https://www.instagram.com/digitalopsagency,https://www.youtube.com/channel/UCr1fdCto9dVVeWpCcd-okxQ,,https://digitalops.in/contact-us,https://digitalops.in/about-digitalops-agency,,https://digitalops.in/blog,WordPress,,,,DIGITALOPS,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=DIGITALOPS&per_page=5,,,,,,,,,,,,
DXC Technology,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,DLF Cyber City,Block 2,"Tysons, USA",IT Services,Global IT services and consulting,https://www.dxc.com,+91 40 1234 5678,,https://linkedin.com/company/dxc-technology,Yes,"130,000+",$17B+,4.0,CTO - AI & Cloud,CTO - AI & Cloud,,,,,,"AI cloud solutions, enterprise AI, automation",High - AI in enterprise,,,,,,,,"IBM, Accenture, Cognizant",Enterprise AI delivery,,https://www.dxc.com,https://linkedin.com/company/dxc-technology,,,,,,2026-06-30T11:05:54.525613,"DXC is a leading enterprise technology and innovation partner delivering software, services, and solutions for global enterprises and public sector organizations.",,,https://www.instagram.com/dxctechnology,https://www.youtube.com/@DXCTechnology,,https://www.dxc.com/contact-us,https://www.dxc.com/about-us,https://careers.dxc.com,https://www.dxc.com/newsroom/04282026-dxc-introduces-dxc-oasis-to-reimagine-managed-services-for-the-ai-era,,,"115,000+",,DXC Technology,SEC_EDGAR; Wikidata,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=DXC+Technology&per_page=5,IndyCar Series at Texas Motor Speedway,0001688568,United States,,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001688568,,,,,
Data Glove IT Solutions,Enterprise / Tech Company,Tier 2 - Warm,65,65,78,No,1,Gachibowli,Kapil Towers,Main,"Hyderabad, India",IT Services,IT solutions and services provider,,+91 40 1234 5678,,,Yes,,,4.0,CEO - AI Solutions,CEO - AI Solutions,,,,,,"AI data solutions, analytics, automation",Medium - AI data,,,,,,,,"TCS, Infosys, Wipro",Data AI services,"""Data Glove IT Solutions"" Gachibowli",,,,,https://data.gov/; https://www.kaggle.com/datasets; https://www.ibm.com/think/topics/data; https://www.geeksforgeeks.org/data-analysis/what-is-data/; https://www.merriam-webster.com/dictionary/data,"DDGSearchProvider,SearXNGProvider",,2026-06-30T11:06:07.448113,,,,,,,,,,,,,,,Data Glove IT Solutions,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Data+Glove+IT+Solutions&per_page=5,,,,,,,,,,,,
Dell International,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Cyber Gateway,Block B,"Round Rock, USA",Hardware / IT,"Subsidiary of Dell Technologies, IT services and support",https://www.dell.com,+91 40 1234 5678,,https://linkedin.com/company/dell-technologies,Yes,"165,000+",$100B+,4.1,VP - AI Infrastructure,VP - AI Infrastructure,,,,,,"AI hardware, edge computing, data center AI",High - AI infrastructure,,,,,,,,"HP, Lenovo, Cisco",AI server and infrastructure R&D,,https://www.dell.com,https://linkedin.com/company/dell-technologies,,,,,,2026-06-30T11:06:11.066074,Reference #18.87361ab8.1782797768.f4dc95a,,,,,,,,,,,,,,Dell International,Wikidata,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Dell+International&per_page=5,Dell International Services,,,,,,,,,,,
Factset Systems,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,Gachibowli,Divyasree Orion,Block B5,"Norwalk, USA",Financial Data,Financial data and analytics software,https://www.factset.com,+91 40 1234 5678,,https://linkedin.com/company/factset,Yes,"12,000+",$2B+,4.1,VP - AI Analytics,VP - AI Analytics,,,,,,"AI financial analytics, NLP, predictive modeling",High - AI in finance,,,,,,,,"Bloomberg, Refinitiv, S&P",Financial AI analytics R&D,,https://www.factset.com,https://linkedin.com/company/factset,,,,,,2026-06-30T11:06:21.274630,"Access premium financial data, advanced analytics, and AI-powered insights on one integrated platform. Power smarter financial decisions with FactSet!",https://www.facebook.com/FactSet,https://twitter.com/FactSet,https://www.instagram.com/lifeatfactset,https://www.youtube.com/@FactSetSolutions,,https://www.factset.com/contact-us,,https://www.factset.com/careers,,,,,,Factset Systems,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Factset+Systems&per_page=5,,,,,,,,,,,,
Finisar India,Enterprise / Tech Company,Tier 2 - Warm,75,65,89,No,1,HITEC City,Cyber Pearl,Block 2,"Sunnyvale, USA",Optical Communications,Provider of optical communication components and subsystems,https://www.finisar.com,+91 40 1234 5678,,https://linkedin.com/company/finisar,Yes,,,4.0,VP - Optical AI,VP - Optical AI,,,,,,"AI in optical networking, signal processing",Low - AI emerging,,,,,,,,"Lumentum, Cisco, Juniper",Optical AI research,,https://www.finisar.com,https://linkedin.com/company/finisar,,,,,,2026-06-30T11:06:29.867354,"Learn how Coherent empowers innovations and breakthrough technologies for the industrial, communications, electronics, and instrumentation markets.",https://www.facebook.com/CoherentCorp,https://x.com/coherentcorp,https://www.instagram.com/coherent_corp,https://www.youtube.com/@CoherentCorp,,https://www.finisar.com/contact,https://www.finisar.com/company/about-us,https://www.finisar.com/peopleandculture,https://www.finisar.com/news,,,,,Finisar India,,OpenCorporates:401 Client Error: Unauthorized for url: https://api.opencorporates.com/v0.4/companies/search?q=Finisar+India&per_page=5,,,,,,,,,,,,
